,area_type,location,total_sqft,bath,balcony,price,bhk
199,Super built-up  Area,Nagasandra,980.0,2.0,1.0,48.0,2.0
200,Super built-up  Area,EPIP Zone,1285.0,2.0,2.0,82.0,2.0
201,Super built-up  Area,other,912.0,2.0,1.0,70.0,3.0
204,Built-up  Area,Kadugodi,1260.0,2.0,2.0,54.0,3.0
206,Super built-up  Area,Kogilu,1909.0,3.0,2.0,88.0,3.0
207,Super built-up  Area,Panathur,1359.0,2.0,1.0,87.0,2.0
211,Super built-up  Area,Kammasandra,1595.0,3.0,2.0,65.0,3.0
212,Built-up  Area,other,1798.0,3.0,2.0,89.0,3.0
213,Super built-up  Area,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3.0
215,Super built-up  Area,Dasarahalli,1295.0,2.0,1.0,65.0,2.0
217,Super built-up  Area,Electronic City,589.0,1.0,1.0,27.0,1.0
219,Super built-up  Area,Sarjapur  Road,1787.0,3.0,2.0,98.29,3.0
220,Super built-up  Area,Sarjapur  Road,1787.0,3.0,2.0,125.0,3.0
226,Built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2.0
227,Plot  Area,other,1500.0,2.0,1.0,115.0,2.0
228,Super built-up  Area,Hebbal,1900.0,3.0,2.0,119.0,3.0
229,Super built-up  Area,Dommasandra,805.0,2.0,1.0,22.14,2.0
231,Super built-up  Area,other,1148.0,2.0,2.0,60.0,2.0
232,Super built-up  Area,other,1110.0,2.0,2.0,55.0,2.0
234,Super built-up  Area,Kalyan nagar,1290.0,2.0,2.0,110.0,2.0
237,Super built-up  Area,Vijayanagar,1933.0,3.0,1.0,129.0,3.0
239,Built-up  Area,other,1060.0,2.0,2.0,60.0,2.0
240,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1.0
242,Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1.0
245,Plot  Area,Electronic City,1200.0,3.0,1.0,90.0,3.0
251,Built-up  Area,other,1060.0,2.0,2.0,55.0,2.0
252,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2.0
254,Built-up  Area,other,1280.0,2.0,1.0,69.0,2.0
257,Super built-up  Area,Electronic City,1108.0,2.0,1.0,63.0,2.0
262,Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2.0
263,Super built-up  Area,Budigere,1162.0,2.0,1.0,59.9,2.0
269,Super built-up  Area,Kalena Agrahara,1804.0,3.0,2.0,120.0,3.0
270,Super built-up  Area,Sarjapur,913.0,2.0,1.0,32.0,2.0
271,Super built-up  Area,Talaghattapura,1868.0,3.0,2.0,131.0,3.0
272,Built-up  Area,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2.0
276,Super built-up  Area,Balagere,1210.0,2.0,1.0,80.9,2.0
280,Built-up  Area,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2.0
281,Built-up  Area,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3.0
283,Built-up  Area,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3.0
284,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,46.0,3.0
285,Super built-up  Area,Old Madras Road,1425.0,2.0,2.0,94.0,3.0
286,Built-up  Area,Kalena Agrahara,1200.0,2.0,1.0,40.0,2.0
287,Super built-up  Area,Kaggadasapura,1280.0,2.0,2.0,56.0,3.0
291,Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2.0
292,Super built-up  Area,Electronic City Phase II,1069.0,2.0,2.0,45.0,2.0
293,Super built-up  Area,Hebbal,1349.0,2.0,1.0,98.2,2.0
294,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2.0
296,Plot  Area,TC Palaya,1475.0,3.0,1.0,98.0,3.0
297,Carpet  Area,other,950.0,2.0,2.0,47.0,2.0
301,Super built-up  Area,Singasandra,1010.0,2.0,1.0,29.5,2.0
302,Super built-up  Area,Kalena Agrahara,1425.0,2.0,1.0,70.0,3.0
303,Super built-up  Area,Vijayanagar,1450.0,3.0,0.0,100.0,3.0
304,Super built-up  Area,Kothanur,1847.0,3.0,2.0,105.0,3.0
306,Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,26.0,1.0
307,Super built-up  Area,Mallasandra,1665.0,3.0,2.0,95.0,3.0
314,Super built-up  Area,Malleshpalya,1140.0,2.0,2.0,46.5,2.0
317,Super built-up  Area,Whitefield,1280.0,2.0,2.0,75.0,2.0
318,Built-up  Area,Munnekollal,1170.0,2.0,2.0,52.0,2.0
320,Super built-up  Area,Hennur Road,1385.0,2.0,1.0,83.09,2.0
321,Super built-up  Area,Electronic City,1128.0,2.0,1.0,65.0,2.0
328,Super built-up  Area,Kaval Byrasandra,1200.0,2.0,2.0,52.0,2.0
330,Built-up  Area,other,1645.0,3.0,2.0,95.0,3.0
331,Super built-up  Area,Sarjapur  Road,1000.0,2.0,1.0,67.0,2.0
333,Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2.0
336,Built-up  Area,Uttarahalli,1020.0,2.0,2.0,45.0,2.0
339,Plot  Area,other,1200.0,2.0,0.0,79.0,2.0
341,Super built-up  Area,Devarachikkanahalli,1250.0,2.0,2.0,40.0,2.0
342,Super built-up  Area,Kalena Agrahara,1325.0,2.0,2.0,76.0,2.0
343,Built-up  Area,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3.0
344,Super built-up  Area,Kanakpura Road,525.0,2.0,2.0,21.53,1.0
345,Super built-up  Area,Basaveshwara Nagar,1200.0,2.0,2.0,65.0,2.0
347,Super built-up  Area,Bommasandra,1260.0,3.0,1.0,49.36,3.0
348,Super built-up  Area,other,1800.0,3.0,0.0,150.0,3.0
350,Built-up  Area,Ardendale,1100.0,2.0,1.0,43.25,2.0
351,Super built-up  Area,Harlur,1508.0,2.0,1.0,77.0,2.0
354,Super built-up  Area,Electronic City Phase II,630.0,1.0,1.0,28.35,1.0
356,Super built-up  Area,other,1762.0,3.0,1.0,125.0,3.0
357,Super built-up  Area,other,950.0,2.0,2.0,50.0,2.0
359,Super built-up  Area,Magadi Road,1116.0,2.0,1.0,50.0,2.0
360,Super built-up  Area,Narayanapura,1308.0,2.0,2.0,89.04,2.0
361,Super built-up  Area,other,1200.0,3.0,0.0,90.0,3.0
363,Built-up  Area,Bannerghatta Road,500.0,1.0,1.0,18.5,1.0
364,Super built-up  Area,Hennur,1075.0,2.0,1.0,52.0,2.0
365,Super built-up  Area,Chandapura,530.0,1.0,0.0,11.66,1.0
367,Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2.0
368,Built-up  Area,KR Puram,930.0,2.0,2.0,39.0,2.0
371,Built-up  Area,Kodigehaali,1166.0,2.0,2.0,55.0,2.0
372,Super built-up  Area,Bannerghatta Road,1050.0,2.0,1.0,65.0,2.0
374,Super built-up  Area,Begur Road,1200.0,2.0,2.0,46.8,2.0
375,Super built-up  Area,Lakshminarayana Pura,1600.0,2.0,1.0,108.0,3.0
377,Super built-up  Area,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1.0
378,Super built-up  Area,Electronic City,1800.0,3.0,2.0,95.0,3.0
380,Super built-up  Area,Hegde Nagar,1801.0,3.0,2.0,115.0,3.0
381,Built-up  Area,Mahadevpura,1451.0,2.0,2.0,90.0,2.0
383,Super built-up  Area,Begur Road,1160.0,2.0,2.0,44.0,2.0
387,Built-up  Area,Vijayanagar,1580.0,2.0,0.0,134.0,3.0
388,Super built-up  Area,Vijayanagar,1826.0,3.0,2.0,121.0,3.0
389,Built-up  Area,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2.0
390,Super built-up  Area,Raja Rajeshwari Nagar,1145.0,2.0,2.0,45.79,2.0
391,Super built-up  Area,Sompura,825.0,2.0,1.0,33.0,2.0
395,Built-up  Area,Doddathoguru,1050.0,2.0,1.0,32.0,2.0
396,Built-up  Area,Dodda Nekkundi,1260.0,2.0,2.0,55.0,2.0
398,Built-up  Area,Hosur Road,1656.0,2.0,1.0,120.0,2.0
399,Super built-up  Area,Chandapura,1208.0,3.0,1.0,45.0,3.0
402,Plot  Area,Battarahalli,1200.0,2.0,1.0,65.0,2.0
404,Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2.0
412,Super built-up  Area,Kengeri,750.0,2.0,1.0,38.0,2.0
415,Built-up  Area,other,1760.0,3.0,2.0,88.0,3.0
416,Super built-up  Area,Billekahalli,1125.0,2.0,2.0,62.0,2.0
418,Plot  Area,Anandapura,1000.0,2.0,1.0,55.0,2.0
419,Built-up  Area,Bommasandra Industrial Area,1090.0,2.0,2.0,31.48,2.0
420,Plot  Area,TC Palaya,1200.0,2.0,0.0,60.0,2.0
422,Super built-up  Area,Bommasandra,1060.0,2.0,1.0,26.5,2.0
423,Super built-up  Area,Ambalipura,1105.0,2.0,1.0,75.0,2.0
424,Built-up  Area,Hoodi,985.0,2.0,2.0,67.0,2.0
427,Super built-up  Area,CV Raman Nagar,1120.0,2.0,2.0,55.0,2.0
428,Super built-up  Area,other,1069.0,2.0,1.0,55.0,2.0
429,Super built-up  Area,Marathahalli,1933.0,3.0,2.0,140.0,3.0
430,Built-up  Area,Hosur Road,1194.0,2.0,0.0,69.0,2.0
432,Super built-up  Area,Yelenahalli,1240.0,2.0,2.0,47.12,2.0
433,Super built-up  Area,Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.1,2.0
438,Super built-up  Area,Dasanapura,708.0,1.0,1.0,40.0,2.0
441,Super built-up  Area,Bellandur,1250.0,2.0,1.0,76.0,2.0
442,Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3.0
444,Super built-up  Area,Ardendale,1750.0,3.0,2.0,100.0,3.0
445,Super built-up  Area,Vittasandra,1404.0,2.0,1.0,71.0,2.0
447,Built-up  Area,Electronic City,630.0,1.0,1.0,34.65,1.0
448,Super built-up  Area,Harlur,1752.12,3.0,2.0,135.0,3.0
450,Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,1.0,55.47,2.0
452,Super built-up  Area,Sarjapur  Road,1346.0,2.0,1.0,74.03,2.0
454,Super built-up  Area,Hormavu,1150.0,2.0,2.0,55.0,2.0
457,Super built-up  Area,AECS Layout,1620.0,3.0,2.0,98.0,3.0
458,Super built-up  Area,Marathahalli,950.0,2.0,1.0,46.96,2.0
463,Built-up  Area,Padmanabhanagar,1020.0,2.0,2.0,63.0,2.0
464,Built-up  Area,Chikkalasandra,1100.0,2.0,2.0,50.0,2.0
466,Super built-up  Area,Hebbal,1760.0,2.0,2.0,130.0,3.0
468,Super built-up  Area,Akshaya Nagar,1070.0,2.0,1.0,54.0,2.0
470,Plot  Area,Vidyaranyapura,1440.0,2.0,0.0,95.0,2.0
471,Super built-up  Area,Amruthahalli,900.0,2.0,1.0,40.0,2.0
475,Super built-up  Area,Kodigehalli,1270.0,2.0,1.0,98.0,2.0
476,Built-up  Area,other,1200.0,2.0,1.0,62.0,2.0
478,Super built-up  Area,other,1200.0,2.0,1.0,74.0,2.0
479,Super built-up  Area,Subramanyapura,929.0,2.0,0.0,50.17,2.0
487,Super built-up  Area,Chikkalasandra,1208.0,2.0,1.0,49.0,2.0
488,Super built-up  Area,Hebbal Kempapura,1130.0,2.0,2.0,60.0,2.0
489,Super built-up  Area,other,1753.0,3.0,2.0,120.0,3.0
492,Super built-up  Area,Hoodi,1196.0,2.0,2.0,94.42,2.0
494,Super built-up  Area,Electronic City,1128.0,2.0,1.0,63.0,2.0
495,Super built-up  Area,other,1000.0,2.0,1.0,53.0,2.0
497,Built-up  Area,Kereguddadahalli,950.0,2.0,1.0,32.0,2.0
500,Plot  Area,other,720.0,2.0,1.0,45.0,2.0
501,Super built-up  Area,Lingadheeranahalli,1511.0,3.0,1.0,95.0,3.0
504,Built-up  Area,Shampura,375.0,2.0,0.0,26.0,1.0
507,Super built-up  Area,JP Nagar,1000.0,2.0,1.0,35.0,2.0
508,Super built-up  Area,Kambipura,883.0,2.0,1.0,45.0,2.0
509,Super built-up  Area,Sarjapur  Road,1195.0,2.0,1.0,70.0,2.0
511,Built-up  Area,other,700.0,1.0,0.0,41.0,1.0
512,Super built-up  Area,Vittasandra,1246.0,2.0,1.0,67.0,2.0
517,Super built-up  Area,Begur Road,1584.0,3.0,2.0,65.0,3.0
520,Built-up  Area,other,1595.0,3.0,2.0,115.0,3.0
521,Super built-up  Area,other,1353.0,2.0,2.0,110.0,2.0
522,Super built-up  Area,Electronic City,1599.0,3.0,2.0,125.0,3.0
523,Super built-up  Area,Whitefield,1150.0,2.0,1.0,70.0,2.0
525,Super built-up  Area,KR Puram,1155.0,2.0,2.0,42.74,2.0
526,Built-up  Area,other,1200.0,2.0,0.0,85.0,1.0
527,Super built-up  Area,Electronic City Phase II,1000.0,2.0,1.0,25.0,2.0
530,Super built-up  Area,Ramagondanahalli,1251.0,2.0,1.0,47.0,2.0
532,Super built-up  Area,Arekere,1222.0,2.0,2.0,45.0,2.0
533,Super built-up  Area,Bannerghatta Road,1170.0,2.0,1.0,66.0,3.0
536,Super built-up  Area,HSR Layout,1372.0,2.0,1.0,68.0,2.0
541,Built-up  Area,Whitefield,1768.0,3.0,2.0,101.0,3.0
542,Built-up  Area,other,1325.0,2.0,1.0,90.0,3.0
543,Super built-up  Area,Electronic City,1599.0,3.0,2.0,99.0,3.0
546,Super built-up  Area,Uttarahalli,1286.0,2.0,2.0,63.0,2.0
549,Super built-up  Area,Hennur Road,1317.5,2.0,0.0,63.77,2.0
551,Super built-up  Area,Munnekollal,1102.0,2.0,2.0,53.67,2.0
556,Built-up  Area,Chikkabanavar,950.0,2.0,1.0,40.0,2.0
557,Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,27.25,1.0
558,Built-up  Area,Attibele,656.0,2.0,1.0,25.0,2.0
560,Super built-up  Area,other,1056.0,2.0,1.0,80.0,2.0
561,Super built-up  Area,Bannerghatta Road,595.0,1.0,1.0,33.32,1.0
564,Super built-up  Area,Bommasandra,1126.0,2.0,1.0,28.15,2.0
565,Super built-up  Area,Electronics City Phase 1,1490.0,3.0,1.0,84.0,3.0
568,Super built-up  Area,Whitefield,1600.0,3.0,2.0,86.0,3.0
572,Super built-up  Area,Vittasandra,1404.0,2.0,1.0,69.3,2.0
574,Super built-up  Area,other,1544.0,3.0,2.0,120.0,3.0
575,Super built-up  Area,Banashankari Stage III,1305.0,2.0,1.0,58.7,3.0
576,Super built-up  Area,Marathahalli,1230.0,2.0,2.0,80.0,2.0
577,Plot  Area,other,1200.0,2.0,0.0,65.0,2.0
581,Built-up  Area,other,540.0,1.0,1.0,36.0,1.0
582,Super built-up  Area,Hormavu,715.0,1.0,2.0,46.0,1.0
585,Super built-up  Area,Mysore Road,1020.0,2.0,1.0,48.95,2.0
586,Super built-up  Area,Jigani,1020.0,2.0,1.0,40.0,2.0
587,Super built-up  Area,Koramangala,1253.0,2.0,1.0,102.0,2.0
589,Super built-up  Area,Nehru Nagar,961.0,2.0,2.0,38.0,2.0
591,Super built-up  Area,Harlur,1709.0,3.0,2.0,150.0,3.0
592,Plot  Area,other,1600.0,2.0,0.0,115.0,2.0
593,Super built-up  Area,other,416.0,1.0,1.0,18.5,1.0
597,Built-up  Area,other,1630.0,3.0,2.0,85.0,3.0
602,Built-up  Area,other,834.0,1.0,1.0,60.0,1.0
606,Built-up  Area,Gottigere,891.0,2.0,1.0,25.0,2.0
607,Super built-up  Area,Raja Rajeshwari Nagar,1133.0,2.0,1.0,49.07,2.0
611,Built-up  Area,Vidyaranyapura,1200.0,2.0,2.0,55.0,2.0
613,Super built-up  Area,Kaggadasapura,1140.0,2.0,2.0,40.0,2.0
616,Super built-up  Area,Raja Rajeshwari Nagar,1090.0,2.0,1.0,42.0,2.0
619,Super built-up  Area,Whitefield,1790.0,3.0,2.0,100.0,3.0
620,Super built-up  Area,Hebbal,1920.0,3.0,2.0,134.0,3.0
621,Built-up  Area,HRBR Layout,1374.0,2.0,2.0,95.0,2.0
622,Carpet  Area,Bannerghatta Road,1445.0,3.0,2.0,95.0,3.0
623,Super built-up  Area,Kanakapura,711.0,1.0,1.0,36.0,1.0
626,Super built-up  Area,Vasanthapura,1400.0,3.0,2.0,60.0,3.0
627,Built-up  Area,Kundalahalli,1030.0,2.0,2.0,49.0,2.0
628,Super built-up  Area,Mysore Road,1200.0,2.0,1.0,85.0,2.0
629,Carpet  Area,other,1375.0,3.0,2.0,70.0,3.0
630,Plot  Area,Hegde Nagar,1050.0,1.0,2.0,56.0,2.0
632,Super built-up  Area,Bellandur,1000.0,2.0,2.0,50.0,2.0
633,Super built-up  Area,other,469.0,1.0,0.0,25.0,1.0
635,Super built-up  Area,Kambipura,883.0,2.0,1.0,29.0,2.0
640,Super built-up  Area,Mahadevpura,1225.0,2.0,2.0,48.0,2.0
643,Super built-up  Area,Jalahalli East,750.0,1.0,2.0,40.0,1.0
645,Super built-up  Area,Haralur Road,1194.0,2.0,2.0,47.0,2.0
650,Super built-up  Area,Sarjapur,1128.0,2.0,1.0,60.0,2.0
655,Super built-up  Area,Bommasandra,1200.0,3.0,2.0,46.0,3.0
658,Super built-up  Area,Horamavu Agara,1200.0,2.0,1.0,45.0,2.0
659,Super built-up  Area,Raja Rajeshwari Nagar,1260.0,2.0,1.0,67.39,2.0
664,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,45.0,3.0
665,Built-up  Area,Thanisandra,1702.0,3.0,2.0,130.0,3.0
667,Super built-up  Area,Raja Rajeshwari Nagar,1141.0,2.0,2.0,38.55,2.0
670,Built-up  Area,other,1200.0,2.0,0.0,70.0,3.0
671,Super built-up  Area,other,1350.0,3.0,0.0,77.0,3.0
673,Super built-up  Area,other,1180.0,2.0,2.0,78.34,3.0
675,Super built-up  Area,other,1355.0,2.0,2.0,115.0,2.0
676,Plot  Area,other,600.0,1.0,0.0,50.0,1.0
678,Super built-up  Area,Bannerghatta Road,1640.0,2.0,1.0,120.0,3.0
680,Super built-up  Area,Kodichikkanahalli,1190.0,2.0,2.0,57.0,3.0
682,Super built-up  Area,Marathahalli,1019.0,2.0,2.0,49.85,2.0
687,Super built-up  Area,Lingadheeranahalli,1683.0,3.0,1.0,109.0,3.0
688,Super built-up  Area,Kaggadasapura,1515.0,3.0,2.0,83.3,3.0
691,Super built-up  Area,Varthur Road,1083.0,2.0,2.0,61.75,2.0
694,Super built-up  Area,other,1240.0,2.0,2.0,60.0,2.0
695,Super built-up  Area,other,1750.0,3.0,1.0,120.0,3.0
698,Super built-up  Area,Abbigere,985.0,2.0,1.0,40.39,2.0
699,Plot  Area,Tindlu,1500.0,2.0,1.0,87.0,3.0
705,Built-up  Area,Electronic City Phase II,1090.0,2.0,1.0,28.34,2.0
708,Super built-up  Area,Kammasandra,810.0,2.0,2.0,24.5,2.0
710,Super built-up  Area,Hebbal,1337.0,2.0,1.0,82.0,2.0
711,Super built-up  Area,Chandapura,1200.0,2.0,2.0,32.0,2.0
716,Super built-up  Area,Gubbalala,1470.0,2.0,2.0,82.0,3.0
718,Built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2.0
720,Super built-up  Area,Bannerghatta Road,1460.0,2.0,1.0,90.0,3.0
721,Built-up  Area,Hulimavu,1823.0,3.0,2.0,100.0,3.0
726,Built-up  Area,Jakkur,1590.0,2.0,2.0,125.0,3.0
730,Built-up  Area,Haralur Road,1202.0,2.0,1.0,53.0,2.0
732,Super built-up  Area,Panathur,1688.0,3.0,1.0,118.0,3.0
733,Built-up  Area,Kaval Byrasandra,1020.0,2.0,1.0,52.0,2.0
734,Super built-up  Area,Sarjapur,1185.0,2.0,2.0,47.0,2.0
735,Super built-up  Area,Ramagondanahalli,1235.0,2.0,1.0,52.04,2.0
737,Super built-up  Area,Banashankari,1077.0,2.0,2.0,37.64,2.0
741,Built-up  Area,other,425.0,1.0,0.0,20.03,1.0
744,Super built-up  Area,Anekal,656.0,2.0,1.0,22.0,2.0
751,Super built-up  Area,Hegde Nagar,1341.0,2.0,1.0,97.0,2.0
752,Super built-up  Area,Jakkur,1279.0,2.0,1.0,77.0,2.0
756,Super built-up  Area,Kudlu,1152.0,2.0,1.0,53.5,2.0
760,Super built-up  Area,5th Phase JP Nagar,1070.0,2.0,2.0,39.0,2.0
761,Super built-up  Area,Uttarahalli,1101.0,2.0,0.0,45.0,2.0
762,Super built-up  Area,other,775.0,2.0,1.0,55.0,2.0
763,Super built-up  Area,Yeshwanthpur,667.0,1.0,1.0,36.85,1.0
764,Super built-up  Area,Electronic City,1070.0,2.0,1.0,55.0,2.0
766,Super built-up  Area,Kundalahalli,735.0,2.0,1.0,57.99,2.0
